last name,DOB,gender,first name
,,,
SMITH,01-03-1968,F,WILLIAM
,,,
ROTHMEYER,01-03-1968,F,WILLIAM
ASBY,01-03-1968,F,WILLIAM
SALTER,01-03-1968,F,WILLIAM
BLAND,21-02-1962,F,WILLIAM
SHAFFER,21-02-1962,F,WILLIAM
BLAND,21-02-1962,F,BILL
BLAND,08-06-1954,F,WILLIAM
BLAND,25-10-1953,F,WILLIAM
SHAFFER,25-10-1953,F,WILLIAM
DUNCAN,25-10-1953,F,THOMAS
CARLSON,25-10-1953,F,ROY
CARLSON,25-10-1953,F,RON
DUNCAN,25-10-1953,F,ROY
MICHAELSON,25-10-1953,M,ROY
MICHAELSON,01-05-1951,M,ROY
MICHAELSON,17-06-1948,M,ROY
MICHAELSON,09-04-1947,M,ROY
MICHAELSON,09-04-1947,M,ROBERT
MICHAELSON,09-04-1947,M,BOB
MUSTAPHA,11-03-1947,M,OWEN
MUSTAPHA,11-03-1947,M,OWAN
HOUGHTON,31-01-1946,M,LAWRENCE
LIND,31-01-1946,M,LAWRENCE
LIND,31-01-1946,M,KENNETH
LIND,20-01-1946,M,JOHN
CAIN,20-01-1946,M,JOHN
CLARK,09-06-1945,M,JOHN
CLARK,09-02-1945,M,RONALD
CLARK,09-02-1945,M,DONALD
CLARK,16-12-1944,M,JOHN
MICHAELSON,16-12-1944,M,JOHN
MICHAELSON,24-04-1940,M,JOHN
MICHAELSON,24-06-1939,M,JOHN
MICHAELSON,24-06-1939,M,JAMES
MICHAELSON,24-06-1939,M,JACK
MICHAELSON,09-06-1939,M,JACK
LARSON,09-06-1939,M,HAROLD
MUSTAPHA,07-10-1937,M,HAROLD
HOUGHTON,07-10-1937,M,HAROLD
MELVIN,07-10-1937,M,HAROLD
CHAVAS,07-10-1937,M,HAROLD
MICHAELSON,07-10-1937,M,HAROLD
SMITH,07-10-1937,M,HAROLD
FAGEN,07-10-1937,M,HAROLD
FAGEN,07-10-1937,M,GEORGE
GRIFFIN,07-10-1937,M,DARH
GRIFFIN,10-07-1937,M,DARL
GRIFFIN,07-05-1937,M,DARL
GRIFFIN,07-05-1937,M,CLIFFORD
GRIFFIN,07-05-1937,M,CLARENCE
HANNA,24-11-1934,M,ADDISON
GALETICH,15-10-1932,M,ADDISON
FUNARO,06-12-1937,F,HARRIET
